image_id,image_path,relative_path,label,class_name,folder_name,official_split,width,height,aspect_ratio,split
n02101556_5831,/root/data/stanford_dogs/Images/n02101556-clumber/n02101556_5831.jpg,n02101556-clumber/n02101556_5831.jpg,65,clumber,n02101556-clumber,official_train,452,480,0.9416666666666667,train
n02086910_3924,/root/data/stanford_dogs/Images/n02086910-papillon/n02086910_3924.jpg,n02086910-papillon/n02086910_3924.jpg,6,papillon,n02086910-papillon,official_train,500,375,1.3333333333333333,train
n02108089_5266,/root/data/stanford_dogs/Images/n02108089-boxer/n02108089_5266.jpg,n02108089-boxer/n02108089_5266.jpg,91,boxer,n02108089-boxer,official_train,500,375,1.3333333333333333,train
n02099849_4667,/root/data/stanford_dogs/Images/n02099849-Chesapeake_Bay_retriever/n02099849_4667.jpg,n02099849-Chesapeake_Bay_retriever/n02099849_4667.jpg,58,Chesapeake Bay retriever,n02099849-Chesapeake_Bay_retriever,official_train,334,500,0.668,train
n02099601_4843,/root/data/stanford_dogs/Images/n02099601-golden_retriever/n02099601_4843.jpg,n02099601-golden_retriever/n02099601_4843.jpg,56,golden retriever,n02099601-golden_retriever,official_train,500,375,1.3333333333333333,train
n02097209_597,/root/data/stanford_dogs/Images/n02097209-standard_schnauzer/n02097209_597.jpg,n02097209-standard_schnauzer/n02097209_597.jpg,47,standard schnauzer,n02097209-standard_schnauzer,official_train,480,839,0.5721096543504172,train
n02088094_4426,/root/data/stanford_dogs/Images/n02088094-Afghan_hound/n02088094_4426.jpg,n02088094-Afghan_hound/n02088094_4426.jpg,9,Afghan hound,n02088094-Afghan_hound,official_train,456,500,0.912,train
n02085936_8417,/root/data/stanford_dogs/Images/n02085936-Maltese_dog/n02085936_8417.jpg,n02085936-Maltese_dog/n02085936_8417.jpg,2,Maltese dog,n02085936-Maltese_dog,official_train,333,500,0.666,train
n02116738_2344,/root/data/stanford_dogs/Images/n02116738-African_hunting_dog/n02116738_2344.jpg,n02116738-African_hunting_dog/n02116738_2344.jpg,119,African hunting dog,n02116738-African_hunting_dog,official_train,797,606,1.3151815181518152,train
n02091635_4718,/root/data/stanford_dogs/Images/n02091635-otterhound/n02091635_4718.jpg,n02091635-otterhound/n02091635_4718.jpg,24,otterhound,n02091635-otterhound,official_train,200,200,1.0,train
n02096177_6298,/root/data/stanford_dogs/Images/n02096177-cairn/n02096177_6298.jpg,n02096177-cairn/n02096177_6298.jpg,41,cairn,n02096177-cairn,official_train,500,458,1.091703056768559,train
n02104029_2861,/root/data/stanford_dogs/Images/n02104029-kuvasz/n02104029_2861.jpg,n02104029-kuvasz/n02104029_2861.jpg,71,kuvasz,n02104029-kuvasz,official_train,500,400,1.25,train
n02101556_4826,/root/data/stanford_dogs/Images/n02101556-clumber/n02101556_4826.jpg,n02101556-clumber/n02101556_4826.jpg,65,clumber,n02101556-clumber,official_train,500,454,1.1013215859030836,train
n02105855_15724,/root/data/stanford_dogs/Images/n02105855-Shetland_sheepdog/n02105855_15724.jpg,n02105855-Shetland_sheepdog/n02105855_15724.jpg,79,Shetland sheepdog,n02105855-Shetland_sheepdog,official_train,500,333,1.5015015015015014,train
n02107574_2065,/root/data/stanford_dogs/Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_2065.jpg,n02107574-Greater_Swiss_Mountain_dog/n02107574_2065.jpg,87,Greater Swiss Mountain dog,n02107574-Greater_Swiss_Mountain_dog,official_train,500,374,1.3368983957219251,train
n02100735_634,/root/data/stanford_dogs/Images/n02100735-English_setter/n02100735_634.jpg,n02100735-English_setter/n02100735_634.jpg,61,English setter,n02100735-English_setter,official_train,500,375,1.3333333333333333,train
n02095314_1945,/root/data/stanford_dogs/Images/n02095314-wire-haired_fox_terrier/n02095314_1945.jpg,n02095314-wire-haired_fox_terrier/n02095314_1945.jpg,37,wire-haired fox terrier,n02095314-wire-haired_fox_terrier,official_train,250,361,0.6925207756232687,train
n02100236_304,/root/data/stanford_dogs/Images/n02100236-German_short-haired_pointer/n02100236_304.jpg,n02100236-German_short-haired_pointer/n02100236_304.jpg,59,German short-haired pointer,n02100236-German_short-haired_pointer,official_train,500,333,1.5015015015015014,train
n02113799_6304,/root/data/stanford_dogs/Images/n02113799-standard_poodle/n02113799_6304.jpg,n02113799-standard_poodle/n02113799_6304.jpg,115,standard poodle,n02113799-standard_poodle,official_train,500,460,1.0869565217391304,train
n02091032_5383,/root/data/stanford_dogs/Images/n02091032-Italian_greyhound/n02091032_5383.jpg,n02091032-Italian_greyhound/n02091032_5383.jpg,20,Italian greyhound,n02091032-Italian_greyhound,official_train,332,500,0.664,train
n02087394_6050,/root/data/stanford_dogs/Images/n02087394-Rhodesian_ridgeback/n02087394_6050.jpg,n02087394-Rhodesian_ridgeback/n02087394_6050.jpg,8,Rhodesian ridgeback,n02087394-Rhodesian_ridgeback,official_train,347,227,1.52863436123348,train
n02105251_8560,/root/data/stanford_dogs/Images/n02105251-briard/n02105251_8560.jpg,n02105251-briard/n02105251_8560.jpg,75,briard,n02105251-briard,official_train,500,333,1.5015015015015014,train
n02106382_4034,/root/data/stanford_dogs/Images/n02106382-Bouvier_des_Flandres/n02106382_4034.jpg,n02106382-Bouvier_des_Flandres/n02106382_4034.jpg,82,Bouvier des Flandres,n02106382-Bouvier_des_Flandres,official_train,205,415,0.4939759036144578,train
n02105855_982,/root/data/stanford_dogs/Images/n02105855-Shetland_sheepdog/n02105855_982.jpg,n02105855-Shetland_sheepdog/n02105855_982.jpg,79,Shetland sheepdog,n02105855-Shetland_sheepdog,official_train,500,333,1.5015015015015014,train
n02109047_2859,/root/data/stanford_dogs/Images/n02109047-Great_Dane/n02109047_2859.jpg,n02109047-Great_Dane/n02109047_2859.jpg,95,Great Dane,n02109047-Great_Dane,official_train,587,800,0.73375,train
n02115641_4737,/root/data/stanford_dogs/Images/n02115641-dingo/n02115641_4737.jpg,n02115641-dingo/n02115641_4737.jpg,117,dingo,n02115641-dingo,official_train,386,500,0.772,train
n02109047_17629,/root/data/stanford_dogs/Images/n02109047-Great_Dane/n02109047_17629.jpg,n02109047-Great_Dane/n02109047_17629.jpg,95,Great Dane,n02109047-Great_Dane,official_train,594,800,0.7425,train
n02097130_5117,/root/data/stanford_dogs/Images/n02097130-giant_schnauzer/n02097130_5117.jpg,n02097130-giant_schnauzer/n02097130_5117.jpg,46,giant schnauzer,n02097130-giant_schnauzer,official_train,500,355,1.408450704225352,train
n02105641_9074,/root/data/stanford_dogs/Images/n02105641-Old_English_sheepdog/n02105641_9074.jpg,n02105641-Old_English_sheepdog/n02105641_9074.jpg,78,Old English sheepdog,n02105641-Old_English_sheepdog,official_train,500,333,1.5015015015015014,train
n02086079_11684,/root/data/stanford_dogs/Images/n02086079-Pekinese/n02086079_11684.jpg,n02086079-Pekinese/n02086079_11684.jpg,3,Pekinese,n02086079-Pekinese,official_train,500,333,1.5015015015015014,train
n02089867_1225,/root/data/stanford_dogs/Images/n02089867-Walker_hound/n02089867_1225.jpg,n02089867-Walker_hound/n02089867_1225.jpg,15,Walker hound,n02089867-Walker_hound,official_train,217,268,0.8097014925373134,train
n02110185_712,/root/data/stanford_dogs/Images/n02110185-Siberian_husky/n02110185_712.jpg,n02110185-Siberian_husky/n02110185_712.jpg,99,Siberian husky,n02110185-Siberian_husky,official_train,500,375,1.3333333333333333,train
n02105505_1541,/root/data/stanford_dogs/Images/n02105505-komondor/n02105505_1541.jpg,n02105505-komondor/n02105505_1541.jpg,77,komondor,n02105505-komondor,official_train,500,375,1.3333333333333333,train
n02104365_5670,/root/data/stanford_dogs/Images/n02104365-schipperke/n02104365_5670.jpg,n02104365-schipperke/n02104365_5670.jpg,72,schipperke,n02104365-schipperke,official_train,500,375,1.3333333333333333,train
n02097298_9251,/root/data/stanford_dogs/Images/n02097298-Scotch_terrier/n02097298_9251.jpg,n02097298-Scotch_terrier/n02097298_9251.jpg,48,Scotch terrier,n02097298-Scotch_terrier,official_train,500,375,1.3333333333333333,train
n02108000_3601,/root/data/stanford_dogs/Images/n02108000-EntleBucher/n02108000_3601.jpg,n02108000-EntleBucher/n02108000_3601.jpg,90,EntleBucher,n02108000-EntleBucher,official_train,400,300,1.3333333333333333,train
n02100877_8507,/root/data/stanford_dogs/Images/n02100877-Irish_setter/n02100877_8507.jpg,n02100877-Irish_setter/n02100877_8507.jpg,62,Irish setter,n02100877-Irish_setter,official_train,427,500,0.854,train
n02099429_3191,/root/data/stanford_dogs/Images/n02099429-curly-coated_retriever/n02099429_3191.jpg,n02099429-curly-coated_retriever/n02099429_3191.jpg,55,curly-coated retriever,n02099429-curly-coated_retriever,official_train,225,263,0.8555133079847909,train
n02088364_17689,/root/data/stanford_dogs/Images/n02088364-beagle/n02088364_17689.jpg,n02088364-beagle/n02088364_17689.jpg,11,beagle,n02088364-beagle,official_train,500,499,1.002004008016032,train
n02109961_12107,/root/data/stanford_dogs/Images/n02109961-Eskimo_dog/n02109961_12107.jpg,n02109961-Eskimo_dog/n02109961_12107.jpg,97,Eskimo dog,n02109961-Eskimo_dog,official_train,375,500,0.75,train
n02115641_6183,/root/data/stanford_dogs/Images/n02115641-dingo/n02115641_6183.jpg,n02115641-dingo/n02115641_6183.jpg,117,dingo,n02115641-dingo,official_train,800,600,1.3333333333333333,train
n02099601_3388,/root/data/stanford_dogs/Images/n02099601-golden_retriever/n02099601_3388.jpg,n02099601-golden_retriever/n02099601_3388.jpg,56,golden retriever,n02099601-golden_retriever,official_train,500,333,1.5015015015015014,train
n02099267_4525,/root/data/stanford_dogs/Images/n02099267-flat-coated_retriever/n02099267_4525.jpg,n02099267-flat-coated_retriever/n02099267_4525.jpg,54,flat-coated retriever,n02099267-flat-coated_retriever,official_train,500,375,1.3333333333333333,train
n02109525_8822,/root/data/stanford_dogs/Images/n02109525-Saint_Bernard/n02109525_8822.jpg,n02109525-Saint_Bernard/n02109525_8822.jpg,96,Saint Bernard,n02109525-Saint_Bernard,official_train,500,375,1.3333333333333333,train
n02109047_22955,/root/data/stanford_dogs/Images/n02109047-Great_Dane/n02109047_22955.jpg,n02109047-Great_Dane/n02109047_22955.jpg,95,Great Dane,n02109047-Great_Dane,official_train,914,1216,0.7516447368421053,train
n02115641_6772,/root/data/stanford_dogs/Images/n02115641-dingo/n02115641_6772.jpg,n02115641-dingo/n02115641_6772.jpg,117,dingo,n02115641-dingo,official_train,500,375,1.3333333333333333,train
n02098286_771,/root/data/stanford_dogs/Images/n02098286-West_Highland_white_terrier/n02098286_771.jpg,n02098286-West_Highland_white_terrier/n02098286_771.jpg,52,West Highland white terrier,n02098286-West_Highland_white_terrier,official_train,500,333,1.5015015015015014,train
n02096051_5234,/root/data/stanford_dogs/Images/n02096051-Airedale/n02096051_5234.jpg,n02096051-Airedale/n02096051_5234.jpg,40,Airedale,n02096051-Airedale,official_train,500,333,1.5015015015015014,train
n02090622_8380,/root/data/stanford_dogs/Images/n02090622-borzoi/n02090622_8380.jpg,n02090622-borzoi/n02090622_8380.jpg,18,borzoi,n02090622-borzoi,official_train,500,256,1.953125,train
n02110627_946,/root/data/stanford_dogs/Images/n02110627-affenpinscher/n02110627_946.jpg,n02110627-affenpinscher/n02110627_946.jpg,100,affenpinscher,n02110627-affenpinscher,official_train,350,301,1.1627906976744187,train
n02109047_22193,/root/data/stanford_dogs/Images/n02109047-Great_Dane/n02109047_22193.jpg,n02109047-Great_Dane/n02109047_22193.jpg,95,Great Dane,n02109047-Great_Dane,official_train,600,450,1.3333333333333333,train
n02097474_1341,/root/data/stanford_dogs/Images/n02097474-Tibetan_terrier/n02097474_1341.jpg,n02097474-Tibetan_terrier/n02097474_1341.jpg,49,Tibetan terrier,n02097474-Tibetan_terrier,official_train,500,333,1.5015015015015014,train
n02096294_2188,/root/data/stanford_dogs/Images/n02096294-Australian_terrier/n02096294_2188.jpg,n02096294-Australian_terrier/n02096294_2188.jpg,42,Australian terrier,n02096294-Australian_terrier,official_train,496,500,0.992,train
n02100735_4875,/root/data/stanford_dogs/Images/n02100735-English_setter/n02100735_4875.jpg,n02100735-English_setter/n02100735_4875.jpg,61,English setter,n02100735-English_setter,official_train,500,375,1.3333333333333333,train
n02091831_8843,/root/data/stanford_dogs/Images/n02091831-Saluki/n02091831_8843.jpg,n02091831-Saluki/n02091831_8843.jpg,25,Saluki,n02091831-Saluki,official_train,500,332,1.5060240963855422,train
n02086910_4182,/root/data/stanford_dogs/Images/n02086910-papillon/n02086910_4182.jpg,n02086910-papillon/n02086910_4182.jpg,6,papillon,n02086910-papillon,official_train,500,338,1.4792899408284024,train
n02097474_477,/root/data/stanford_dogs/Images/n02097474-Tibetan_terrier/n02097474_477.jpg,n02097474-Tibetan_terrier/n02097474_477.jpg,49,Tibetan terrier,n02097474-Tibetan_terrier,official_train,500,375,1.3333333333333333,train
n02105641_9320,/root/data/stanford_dogs/Images/n02105641-Old_English_sheepdog/n02105641_9320.jpg,n02105641-Old_English_sheepdog/n02105641_9320.jpg,78,Old English sheepdog,n02105641-Old_English_sheepdog,official_train,500,375,1.3333333333333333,train
n02090379_4388,/root/data/stanford_dogs/Images/n02090379-redbone/n02090379_4388.jpg,n02090379-redbone/n02090379_4388.jpg,17,redbone,n02090379-redbone,official_train,500,375,1.3333333333333333,train
n02108089_2367,/root/data/stanford_dogs/Images/n02108089-boxer/n02108089_2367.jpg,n02108089-boxer/n02108089_2367.jpg,91,boxer,n02108089-boxer,official_train,357,500,0.714,train
n02100877_8595,/root/data/stanford_dogs/Images/n02100877-Irish_setter/n02100877_8595.jpg,n02100877-Irish_setter/n02100877_8595.jpg,62,Irish setter,n02100877-Irish_setter,official_train,1009,1073,0.940354147250699,train
n02090379_5153,/root/data/stanford_dogs/Images/n02090379-redbone/n02090379_5153.jpg,n02090379-redbone/n02090379_5153.jpg,17,redbone,n02090379-redbone,official_train,381,500,0.762,train
n02104365_7906,/root/data/stanford_dogs/Images/n02104365-schipperke/n02104365_7906.jpg,n02104365-schipperke/n02104365_7906.jpg,72,schipperke,n02104365-schipperke,official_train,500,357,1.4005602240896358,train
n02093754_7788,/root/data/stanford_dogs/Images/n02093754-Border_terrier/n02093754_7788.jpg,n02093754-Border_terrier/n02093754_7788.jpg,31,Border terrier,n02093754-Border_terrier,official_train,500,375,1.3333333333333333,train
n02093428_3329,/root/data/stanford_dogs/Images/n02093428-American_Staffordshire_terrier/n02093428_3329.jpg,n02093428-American_Staffordshire_terrier/n02093428_3329.jpg,29,American Staffordshire terrier,n02093428-American_Staffordshire_terrier,official_train,375,500,0.75,train
n02093991_2056,/root/data/stanford_dogs/Images/n02093991-Irish_terrier/n02093991_2056.jpg,n02093991-Irish_terrier/n02093991_2056.jpg,33,Irish terrier,n02093991-Irish_terrier,official_train,500,375,1.3333333333333333,train
n02109961_4428,/root/data/stanford_dogs/Images/n02109961-Eskimo_dog/n02109961_4428.jpg,n02109961-Eskimo_dog/n02109961_4428.jpg,97,Eskimo dog,n02109961-Eskimo_dog,official_train,375,500,0.75,train
n02112706_1087,/root/data/stanford_dogs/Images/n02112706-Brabancon_griffon/n02112706_1087.jpg,n02112706-Brabancon_griffon/n02112706_1087.jpg,110,Brabancon griffon,n02112706-Brabancon_griffon,official_train,139,267,0.5205992509363296,train
n02096437_708,/root/data/stanford_dogs/Images/n02096437-Dandie_Dinmont/n02096437_708.jpg,n02096437-Dandie_Dinmont/n02096437_708.jpg,43,Dandie Dinmont,n02096437-Dandie_Dinmont,official_train,340,255,1.3333333333333333,train
n02102177_466,/root/data/stanford_dogs/Images/n02102177-Welsh_springer_spaniel/n02102177_466.jpg,n02102177-Welsh_springer_spaniel/n02102177_466.jpg,67,Welsh springer spaniel,n02102177-Welsh_springer_spaniel,official_train,500,375,1.3333333333333333,train
n02113799_1906,/root/data/stanford_dogs/Images/n02113799-standard_poodle/n02113799_1906.jpg,n02113799-standard_poodle/n02113799_1906.jpg,115,standard poodle,n02113799-standard_poodle,official_train,500,462,1.0822510822510822,train
n02107683_6752,/root/data/stanford_dogs/Images/n02107683-Bernese_mountain_dog/n02107683_6752.jpg,n02107683-Bernese_mountain_dog/n02107683_6752.jpg,88,Bernese mountain dog,n02107683-Bernese_mountain_dog,official_train,500,334,1.4970059880239521,train
n02093256_3190,/root/data/stanford_dogs/Images/n02093256-Staffordshire_bullterrier/n02093256_3190.jpg,n02093256-Staffordshire_bullterrier/n02093256_3190.jpg,28,Staffordshire bullterrier,n02093256-Staffordshire_bullterrier,official_train,500,375,1.3333333333333333,train
n02094114_1972,/root/data/stanford_dogs/Images/n02094114-Norfolk_terrier/n02094114_1972.jpg,n02094114-Norfolk_terrier/n02094114_1972.jpg,34,Norfolk terrier,n02094114-Norfolk_terrier,official_train,489,500,0.978,train
n02106382_2083,/root/data/stanford_dogs/Images/n02106382-Bouvier_des_Flandres/n02106382_2083.jpg,n02106382-Bouvier_des_Flandres/n02106382_2083.jpg,82,Bouvier des Flandres,n02106382-Bouvier_des_Flandres,official_train,454,340,1.3352941176470587,train
n02109961_18009,/root/data/stanford_dogs/Images/n02109961-Eskimo_dog/n02109961_18009.jpg,n02109961-Eskimo_dog/n02109961_18009.jpg,97,Eskimo dog,n02109961-Eskimo_dog,official_train,486,500,0.972,train
n02110063_938,/root/data/stanford_dogs/Images/n02110063-malamute/n02110063_938.jpg,n02110063-malamute/n02110063_938.jpg,98,malamute,n02110063-malamute,official_train,375,500,0.75,train
n02106662_855,/root/data/stanford_dogs/Images/n02106662-German_shepherd/n02106662_855.jpg,n02106662-German_shepherd/n02106662_855.jpg,84,German shepherd,n02106662-German_shepherd,official_train,333,500,0.666,train
n02096294_167,/root/data/stanford_dogs/Images/n02096294-Australian_terrier/n02096294_167.jpg,n02096294-Australian_terrier/n02096294_167.jpg,42,Australian terrier,n02096294-Australian_terrier,official_train,350,311,1.1254019292604502,train
n02104029_525,/root/data/stanford_dogs/Images/n02104029-kuvasz/n02104029_525.jpg,n02104029-kuvasz/n02104029_525.jpg,71,kuvasz,n02104029-kuvasz,official_train,310,271,1.1439114391143912,train
n02088466_7409,/root/data/stanford_dogs/Images/n02088466-bloodhound/n02088466_7409.jpg,n02088466-bloodhound/n02088466_7409.jpg,12,bloodhound,n02088466-bloodhound,official_train,500,375,1.3333333333333333,train
n02115641_2513,/root/data/stanford_dogs/Images/n02115641-dingo/n02115641_2513.jpg,n02115641-dingo/n02115641_2513.jpg,117,dingo,n02115641-dingo,official_train,500,381,1.3123359580052494,train
n02102480_4373,/root/data/stanford_dogs/Images/n02102480-Sussex_spaniel/n02102480_4373.jpg,n02102480-Sussex_spaniel/n02102480_4373.jpg,69,Sussex spaniel,n02102480-Sussex_spaniel,official_train,480,320,1.5,train
n02102177_1361,/root/data/stanford_dogs/Images/n02102177-Welsh_springer_spaniel/n02102177_1361.jpg,n02102177-Welsh_springer_spaniel/n02102177_1361.jpg,67,Welsh springer spaniel,n02102177-Welsh_springer_spaniel,official_train,500,333,1.5015015015015014,train
n02089078_1842,/root/data/stanford_dogs/Images/n02089078-black-and-tan_coonhound/n02089078_1842.jpg,n02089078-black-and-tan_coonhound/n02089078_1842.jpg,14,black-and-tan coonhound,n02089078-black-and-tan_coonhound,official_train,275,389,0.7069408740359897,train
n02096437_967,/root/data/stanford_dogs/Images/n02096437-Dandie_Dinmont/n02096437_967.jpg,n02096437-Dandie_Dinmont/n02096437_967.jpg,43,Dandie Dinmont,n02096437-Dandie_Dinmont,official_train,500,333,1.5015015015015014,train
n02109525_6019,/root/data/stanford_dogs/Images/n02109525-Saint_Bernard/n02109525_6019.jpg,n02109525-Saint_Bernard/n02109525_6019.jpg,96,Saint Bernard,n02109525-Saint_Bernard,official_train,393,480,0.81875,train
n02092339_284,/root/data/stanford_dogs/Images/n02092339-Weimaraner/n02092339_284.jpg,n02092339-Weimaraner/n02092339_284.jpg,27,Weimaraner,n02092339-Weimaraner,official_train,500,343,1.4577259475218658,train
n02111277_3454,/root/data/stanford_dogs/Images/n02111277-Newfoundland/n02111277_3454.jpg,n02111277-Newfoundland/n02111277_3454.jpg,104,Newfoundland,n02111277-Newfoundland,official_train,500,375,1.3333333333333333,train
n02099429_258,/root/data/stanford_dogs/Images/n02099429-curly-coated_retriever/n02099429_258.jpg,n02099429-curly-coated_retriever/n02099429_258.jpg,55,curly-coated retriever,n02099429-curly-coated_retriever,official_train,282,419,0.6730310262529833,train
n02089973_3454,/root/data/stanford_dogs/Images/n02089973-English_foxhound/n02089973_3454.jpg,n02089973-English_foxhound/n02089973_3454.jpg,16,English foxhound,n02089973-English_foxhound,official_train,319,376,0.848404255319149,train
n02108089_4486,/root/data/stanford_dogs/Images/n02108089-boxer/n02108089_4486.jpg,n02108089-boxer/n02108089_4486.jpg,91,boxer,n02108089-boxer,official_train,500,372,1.3440860215053763,train
n02095314_2038,/root/data/stanford_dogs/Images/n02095314-wire-haired_fox_terrier/n02095314_2038.jpg,n02095314-wire-haired_fox_terrier/n02095314_2038.jpg,37,wire-haired fox terrier,n02095314-wire-haired_fox_terrier,official_train,340,316,1.0759493670886076,train
n02111129_1181,/root/data/stanford_dogs/Images/n02111129-Leonberg/n02111129_1181.jpg,n02111129-Leonberg/n02111129_1181.jpg,103,Leonberg,n02111129-Leonberg,official_train,300,225,1.3333333333333333,train
n02099712_2223,/root/data/stanford_dogs/Images/n02099712-Labrador_retriever/n02099712_2223.jpg,n02099712-Labrador_retriever/n02099712_2223.jpg,57,Labrador retriever,n02099712-Labrador_retriever,official_train,227,341,0.6656891495601173,train
n02105251_6995,/root/data/stanford_dogs/Images/n02105251-briard/n02105251_6995.jpg,n02105251-briard/n02105251_6995.jpg,75,briard,n02105251-briard,official_train,361,500,0.722,train
n02095570_4226,/root/data/stanford_dogs/Images/n02095570-Lakeland_terrier/n02095570_4226.jpg,n02095570-Lakeland_terrier/n02095570_4226.jpg,38,Lakeland terrier,n02095570-Lakeland_terrier,official_train,226,180,1.2555555555555555,train
n02110806_5312,/root/data/stanford_dogs/Images/n02110806-basenji/n02110806_5312.jpg,n02110806-basenji/n02110806_5312.jpg,101,basenji,n02110806-basenji,official_train,500,375,1.3333333333333333,train
n02113186_8414,/root/data/stanford_dogs/Images/n02113186-Cardigan/n02113186_8414.jpg,n02113186-Cardigan/n02113186_8414.jpg,112,Cardigan,n02113186-Cardigan,official_train,311,449,0.6926503340757239,train
n02100236_5628,/root/data/stanford_dogs/Images/n02100236-German_short-haired_pointer/n02100236_5628.jpg,n02100236-German_short-haired_pointer/n02100236_5628.jpg,59,German short-haired pointer,n02100236-German_short-haired_pointer,official_train,500,375,1.3333333333333333,train
n02099267_198,/root/data/stanford_dogs/Images/n02099267-flat-coated_retriever/n02099267_198.jpg,n02099267-flat-coated_retriever/n02099267_198.jpg,54,flat-coated retriever,n02099267-flat-coated_retriever,official_train,436,386,1.1295336787564767,train
n02096437_2480,/root/data/stanford_dogs/Images/n02096437-Dandie_Dinmont/n02096437_2480.jpg,n02096437-Dandie_Dinmont/n02096437_2480.jpg,43,Dandie Dinmont,n02096437-Dandie_Dinmont,official_train,250,340,0.7352941176470589,train
n02105412_6070,/root/data/stanford_dogs/Images/n02105412-kelpie/n02105412_6070.jpg,n02105412-kelpie/n02105412_6070.jpg,76,kelpie,n02105412-kelpie,official_train,500,375,1.3333333333333333,train
n02102040_2762,/root/data/stanford_dogs/Images/n02102040-English_springer/n02102040_2762.jpg,n02102040-English_springer/n02102040_2762.jpg,66,English springer,n02102040-English_springer,official_train,500,333,1.5015015015015014,train
